dZ (in.),Camber (deg),Roll Center Height (in.)
-3.0,2.767900956130097,2.324155563477197
-2.95,2.7126131614973623,2.291569708148519
-2.9,2.656840257509664,2.2595246018158868
-2.85,2.600580073756867,2.2280227578718246
-2.8,2.543830405845296,2.197066757389937
-2.75,2.4865890152343098,2.1666592490124006
-2.7,2.428853629067701,2.1368029488408187
-2.65,2.3706219400003397,2.107500640329977
-2.6,2.31189160601925,2.0787551741840318
-2.55,2.252660250260286,2.0505694682545146
-2.5,2.192925460819253,2.022946507439694
-2.45,2.1326847905585464,1.99588934358477
-2.4,2.07193575690793,1.9694010953823076
-2.35,2.0106758416613584,1.9434849482724288
-2.3,1.9489024907676593,1.918144154342175
-2.25,1.8866131141170293,1.8933820322235038
-2.2,1.8238050853220398,1.8692019669893465
-2.15,1.7604757414935337,1.8456074100471798
-2.1,1.6966223830116056,1.8226018790294778
-2.05,1.6322422732918698,1.8001889576805266
-2.0,1.567332638545564,1.7783722957389705
-1.95,1.5018906675358297,1.7571556088154503
-1.9,1.4359135113277222,1.7365426782648223
-1.8499999999999999,1.3693982830340996,1.7165373510521942
-1.7999999999999998,1.3023420575555908,1.6971435396122658
-1.75,1.2347418713156655,1.67836522170127
-1.7,1.1665947219904886,1.6602064402408325
-1.65,1.0978975682340275,1.6426713031531528
-1.5999999999999999,1.0286473293967604,1.6257639831867774
-1.5499999999999998,0.9588408852404209,1.6094887177322752
-1.5,0.8884750756468338,1.593849808627101
-1.45,0.8175467003213464,1.5788516219489874
-1.4,0.7460525184911719,1.5644985877970479
-1.3499999999999999,0.6739892485986192,1.5507952000599097
-1.2999999999999998,0.6013535679881734,1.5377460161701062
-1.25,0.5281421125891099,1.5253556568439046
-1.2,0.45435147659204933,1.5136288058058678
-1.15,0.3799782121200799,1.5025702094972717
-1.0999999999999999,0.3050188288949869,1.4921846767675935
-1.0499999999999998,0.22946979389696587,1.4824770785482566
-1.0,0.1533275310197939,1.4734523475077064
-0.9499999999999997,0.07658842071973804,1.4651154776870434
-0.8999999999999999,-0.0007512003410090617,1.4574715241152967
-0.8500000000000001,-0.0786950396562549,1.4505256024033983
-0.7999999999999998,-0.15724684924380905,1.4442828883159986
-0.75,-0.23641042601912332,1.4387486173201798
-0.6999999999999997,-0.3161896121746124,1.4339280841100868
-0.6499999999999999,-0.3965882955645532,1.4298266421065151
-0.5999999999999996,-0.4776104100964431,1.4264497029305414
-0.5499999999999998,-0.559259936127866,1.4238027358500833
-0.5,-0.6415409008689692,1.421891267198413
-0.44999999999999973,-0.724457378791766,1.4207208797636601
-0.3999999999999999,-0.8080134920445241,1.4202972121480948
-0.34999999999999964,-0.8922134108729757,1.420625958096266
-0.2999999999999998,-0.9770613540471395,1.4217128657907943
-0.25,-1.0625615892944384,1.4235637371147603
-0.19999999999999973,-1.1487184337392027,1.4261844268795734
-0.1499999999999999,-1.2355362543482378,1.4295808420170684
-0.09999999999999964,-1.3230194683826926,1.4337589407348412
-0.04999999999999982,-1.411172543856223,1.4387247316334288
0.0,-1.5,1.4444842727843001
0.050000000000000266,-1.589506407733489,1.4510436707673637
