dZ (in.),Camber (deg),Roll Center Height (in.)
-3.0,3.992098349844296,3.9109850823924344
-2.95,3.9199116510039405,3.8525754330053554
-2.9,3.8471952466234196,3.7948594730637843
-2.85,3.7739441145220383,3.737841072654203
-2.8,3.700153145852603,3.6815243141975125
-2.75,3.6258171438015934,3.625913494090845
-2.7,3.55093082225439,3.5710131244414898
-2.65,3.4754888044245256,3.5168279348924845
-2.6,3.39948562144595,3.463362874539428
-2.55,3.322915710929027,3.4106231139380383
-2.5,3.245773415477492,3.358614047202073
-2.45,3.168052981167107,3.3073412941912
-2.4,3.0897485559843227,3.2568107027884055
-2.35,3.0108541882248856,3.2070283512665676
-2.3,2.9313638248507576,3.158000550743792
-2.25,2.8512713098051323,3.1097338477270537
-2.2,2.7705703822839354,3.0622350267438403
-2.15,2.689254674963461,3.0155111130612533
-2.1,2.6073177121827014,2.9695693754922026
-2.05,2.5247529080798943,2.924417329288128
-2.0,2.4415535646815134,2.880062739117842
-1.95,2.3577128699430014,2.8365136221318563
-1.9,2.2732238957402346,2.7937782511116547
-1.8499999999999999,2.1880795958105597,2.7518651577032442
-1.7999999999999998,2.1022728036414575,2.7107831357342795
-1.75,2.0157962303066257,2.670541244614061
-1.7,1.9286424622476686,2.6311488128154568
-1.65,1.840803958999988,2.592615441437962
-1.5999999999999999,1.752273050861787,2.5549510078508253
-1.5499999999999998,1.663041936504376,2.518165669415163
-1.5,1.5731026805227968,2.4822698672838706
-1.45,1.4824472109246938,2.4472743302780793
-1.4,1.3910673165565957,2.41319007883858
-1.3499999999999999,1.2989546444654785,2.3800284290508587
-1.2999999999999998,1.206100697193448,2.3478009967418707
-1.25,1.112496830005461,2.3165197016467935
-1.2,1.018134248046266,2.286196771643736
-1.15,0.9230040034266218,2.256844747054126
-1.0999999999999999,0.8270969922351625,2.228476485006529
-1.0499999999999998,0.7304039514756195,2.201105163861188
-1.0,0.6329154559258017,2.174744287692561
-0.9499999999999997,0.5346219149180094,2.149407690826753
-0.8999999999999999,0.4355135690365268,2.1251095424306516
-0.8500000000000001,0.3355804867323098,2.101864351149155
-0.7999999999999998,0.2348125608509093,2.0796869697866525
-0.75,0.13319950507194345,2.058592600028743
-0.6999999999999997,0.03073085025758049,2.0385967971996246
-0.6499999999999999,-0.07260405929247149,2.019715475050468
-0.5999999999999996,-0.17681606968206265,2.001964910573645
-0.5499999999999998,-0.2819162213587576,1.9853617488372548
